"sim","N","beta0","beta1","q","ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-272",390,-2.245641,0.1549768,0.1,0.8,0.112269823551748,0.198380566801619,-2.24578281076853,0.00303127640788227,0.153298977132287,0.00477933048227158,-2.24726289842708,0.00338786388983584,0.119134514796405,0.00469146903293492,-2.24597120303333,0.00950915505588431,0.157606347313142,0.0151367185821265,-2.24552550520533,0.00316139562979927,0.152840426316864,0.00463774351828807,0.743735726077567
"11422-273",390,-2.245641,0.1549768,0.1,0.8,0.113187982824356,0.178723404255319,-2.2455576596625,0.00310750790000177,0.160403203615511,0.00470517342651823,-2.24675627185832,0.00343027356934733,0.130560336875922,0.00467973107041885,-2.23566857216769,0.0103622743567723,0.14916893253136,0.0146525034144994,-2.24641003674822,0.00319764065639451,0.161593929485594,0.00450210216788348,0.790803804162523
"11422-274",390,-2.245641,0.1549768,0.1,0.8,0.114040393313317,0.180094786729858,-2.24225947657842,0.00327246671446547,0.148764279471025,0.00464905193452974,-2.2412067330412,0.00361203761549185,0.122420919517657,0.00471898465673742,-2.24947734821529,0.0106971719162481,0.164698044252233,0.0147178883914928,-2.24216426306818,0.00347882029155636,0.147761016241151,0.00424452819647365,0.829727911348674
"11422-275",390,-2.245641,0.1549768,0.1,0.8,0.112494605580035,0.219512195121951,-2.24524730982359,0.00303504372195492,0.155621116266758,0.00476104363399571,-2.24810330890133,0.003440429179336,0.12086036409678,0.00469040900475685,-2.24156053938884,0.00933600871667058,0.147031444756763,0.0153866713942747,-2.24424653702467,0.00312830217167832,0.154637257963669,0.00474157805456624,0.719643775999288
"11422-276",390,-2.245641,0.1549768,0.1,0.8,0.112852046404074,0.195652173913043,-2.24686045023593,0.00313955008784396,0.152093993456012,0.00469653014005122,-2.24470876323716,0.00349637405848193,0.116717960609328,0.00469741932464693,-2.24413609362282,0.0091306070156947,0.150604109086984,0.0156994743779493,-2.24570921438506,0.00331092635953945,0.152887128669028,0.00450993118811703,0.762189423566946
"11422-277",390,-2.245641,0.1549768,0.1,0.8,0.112473455756096,0.209876543209877,-2.24485351786737,0.00305369394206363,0.151295583320637,0.00475384932196085,-2.24570707614118,0.00343689181057468,0.116001659607769,0.00469309273153592,-2.25672941395839,0.00890976182559707,0.156223721142778,0.016607494271036,-2.2458691070832,0.00323427494237856,0.151611976778904,0.00456211071386931,0.753980136630504
"11422-278",390,-2.245641,0.1549768,0.1,0.8,0.113063572605162,0.17948717948718,-2.24524660254844,0.00311334577872234,0.156180940875834,0.00470584494821727,-2.2416393239618,0.00343071749939069,0.11829950968689,0.00468195607515419,-2.24558448592704,0.00901669375213947,0.154506705758403,0.0160821970803224,-2.24469666795161,0.00331736278528565,0.156181025847818,0.00434695198677939,0.781011924508597
"11422-279",390,-2.245641,0.1549768,0.1,0.8,0.113436105298568,0.193965517241379,-2.23986859396546,0.00311742785657844,0.149609264464612,0.00469128910467335,-2.23759507145184,0.00346793819833493,0.114203034206309,0.0046814617034417,-2.22309419857923,0.0100483456521219,0.142464504336684,0.0146353630396156,-2.23823988910555,0.00321682346039127,0.151064731262299,0.0046072735766192,0.749677978897724
"11422-280",390,-2.245641,0.1549768,0.1,0.8,0.113033417247748,0.189075630252101,-2.23988510873085,0.00308062843361156,0.146800079982171,0.00472040714341806,-2.23876696563622,0.00341888729864375,0.113108235544328,0.00467905552429879,-2.2393315963048,0.00930846636700635,0.144641275655429,0.0153685183346425,-2.23996256085584,0.00326153815398306,0.145743563060945,0.00450079283508966,0.778742187214899
"11422-281",390,-2.245641,0.1549768,0.1,0.8,0.113460814295989,0.216814159292035,-2.24251595160215,0.00316248235871918,0.150899416652419,0.00467509467616958,-2.24231871319003,0.00357404975786688,0.117751137640599,0.0047120096677576,-2.25137191958921,0.0097543561661633,0.156326735397648,0.0149815418388337,-2.24192778592972,0.00330453010799805,0.152813323317465,0.00448344299980948,0.752532939157764
