"GEOID","CountyName","binX_full","binXstar","POP_DENS","METRO","O_POP","Y_DIABETES","binX_partial"
37157041601,NA,0,0,117.1,TRUE,3513,380,NA
37157041602,NA,0,0,103.9,TRUE,4614,490,NA
37169070100,NA,0,0,61.8,TRUE,6720,713,NA
37169070200,NA,0,0,48.9,TRUE,3660,399,NA
37169070300,NA,0,0,51.7,TRUE,4732,573,NA
37169070400,NA,0,0,130.7,TRUE,5337,609,NA
37169070501,NA,0,0,574.3,TRUE,6884,813,NA
37169070503,NA,0,1,546.6,TRUE,5850,539,0
37169070504,NA,0,0,220.8,TRUE,3394,340,NA
37169070600,NA,0,0,98,TRUE,5143,535,NA
37169070700,NA,1,1,134.4,TRUE,5681,796,1
37171930101,NA,0,0,98.8,TRUE,2093,243,NA
37171930102,NA,0,0,129.2,FALSE,4783,551,NA
37171930201,NA,0,0,242.7,FALSE,3543,443,NA
37171930202,NA,1,1,285.2,FALSE,3332,467,1
37171930301,NA,0,0,334.9,FALSE,2042,256,NA
37171930302,NA,1,1,1559.1,FALSE,3630,454,1
37171930400,NA,1,1,1827.1,FALSE,2576,418,NA
37171930501,NA,0,0,421.5,FALSE,2891,295,NA
37171930502,NA,1,1,580.8,FALSE,3338,508,1
37171930600,NA,0,0,221.1,FALSE,3496,389,NA
37171930700,NA,0,0,155.8,FALSE,4355,488,NA
37171930801,NA,0,0,56.7,FALSE,5201,625,NA
37171930802,NA,0,0,58.6,FALSE,3176,401,NA
37171930901,NA,1,1,520.5,FALSE,4467,590,1
37171930902,NA,0,0,95.9,FALSE,1605,169,NA
37171931001,NA,0,0,124.4,FALSE,2540,272,NA
37171931002,NA,1,1,156.8,FALSE,5216,574,1
37171931003,NA,0,0,101.5,TRUE,3234,421,NA
37171931101,NA,0,0,123.3,TRUE,2870,345,NA
37171931102,NA,0,0,69.3,TRUE,3728,399,NA
37171931103,NA,0,0,72.8,TRUE,1846,220,NA
37171931200,NA,1,1,167.4,TRUE,3711,405,1
37197050101,NA,0,0,99.5,TRUE,5600,616,NA
37197050102,NA,0,0,89.1,TRUE,4066,460,NA
37197050200,NA,0,0,103.2,TRUE,4528,548,NA
37197050300,NA,0,0,159.5,FALSE,5964,806,NA
37197050400,NA,0,0,96.3,TRUE,6729,801,NA
37197050501,NA,1,1,192.6,TRUE,7130,799,1
37197050502,NA,0,0,97.9,TRUE,4389,492,NA
