"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_srs","se_beta0_srs","beta1_srs","se_beta1_srs","beta0_bcc","se_beta0_bcc","beta1_bcc","se_beta1_bcc","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_resid","se_beta0_resid","beta1_resid","se_beta1_resid","ppv"
"11422-172",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111863410508897,0.310738255033557,-2.24254862647202,0.00128125158279307,0.153194216817578,0.00209589236685177,-2.24261648620697,0.00128497903955864,0.153399683221374,0.00209234169856765,-2.2422841835645,0.00127900587156842,0.153598556135055,0.00209502310911016,-2.24251113244355,0.00129750858004762,0.153421462981263,0.00210585355463148,0.605285592497869
"11422-173",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111760161701931,0.314111261872456,-2.24505429280569,0.00128985607524366,0.154498888741942,0.00206703432557922,-2.24504446307034,0.00129620763081478,0.154290908096757,0.00206864153888545,-2.24505396879592,0.00128904532770888,0.154343487111849,0.00206993542704455,-2.24520182271547,0.00130589698034838,0.154448796963836,0.0020756960520029,0.610597140454163
"11422-174",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.11181346461551,0.291780821917808,-2.24657898784788,0.00128638325173246,0.155670246128989,0.00206656076154313,-2.24634996039166,0.00129232591703031,0.155952882700471,0.00206334837302454,-2.24625953529978,0.00128718007645902,0.155955255690926,0.00206612646353984,-2.24639246524497,0.00130052085598741,0.155993569013691,0.00207225556847847,0.634648370497427
"11422-175",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111872228590145,0.292984869325997,-2.24622130752671,0.00129330716018334,0.155459610496612,0.00203590659111543,-2.24629515381361,0.00130182853034029,0.15575212009892,0.00203176076768352,-2.2462800787151,0.00129469130622465,0.155476719994534,0.00203716554855908,-2.24635411939941,0.00130843444518242,0.155510752341556,0.00203520276135719,0.636518771331058
"11422-176",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111809472899124,0.3,-2.24398340744574,0.00126975200236823,0.156116105623971,0.00209158761912946,-2.24386586322552,0.00127553083656413,0.156428485242066,0.00209097285819147,-2.24384827151571,0.00126846032517497,0.156626373038281,0.00209278147625534,-2.24393558915761,0.00128149445032884,0.156392983019458,0.00209934553083978,0.618556701030928
"11422-177",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111709911394826,0.31704005431093,-2.24618825174132,0.00128782863727473,0.15443871576721,0.00206590238081475,-2.24646437825386,0.00129637134585349,0.15423497637963,0.00206252660725929,-2.24630660726904,0.00129377918760757,0.15419051168025,0.00206245289126256,-2.24645033070891,0.00130605614611321,0.15413641705015,0.00206889332974633,0.608877721943049
"11422-178",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111594473074061,0.313261163734777,-2.24860525526883,0.00128440579869519,0.15794914259068,0.00208540823986678,-2.24845913438172,0.00128721133317519,0.157864921614864,0.00209245155030795,-2.24836456017645,0.00128384651756652,0.158134113477613,0.00208763060206542,-2.24863663047662,0.00129597956199374,0.157749773332064,0.00209630066019374,0.609282700421941
"11422-179",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111678975856929,0.303340149965917,-2.24560034497362,0.00128513070420948,0.154720644107888,0.00208806674962451,-2.24557780710056,0.00129069196956026,0.154831421410134,0.00208788714395294,-2.24572408104408,0.00128325335945134,0.154762252649612,0.00208769341746814,-2.24550480225153,0.00129860984193138,0.155020182424282,0.00209800275368128,0.622241086587436
"11422-180",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.11148426807019,0.300134589502019,-2.24775457022287,0.00127563953099452,0.158326484031061,0.00208265877880515,-2.247758705991,0.00127832535355665,0.158244038738033,0.00208408834634854,-2.24784459761061,0.00127444136320023,0.158275939485493,0.00208255459133368,-2.24765063907856,0.00128727638043372,0.158291812214549,0.00208838774831539,0.61551724137931
"11422-181",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111797165725246,0.278925619834711,-2.24663629185234,0.0012885727469741,0.156573460074105,0.00205466388225753,-2.24680362005855,0.00129117568299624,0.155745560135157,0.00204723828193403,-2.24654019927702,0.00128830145727293,0.156371516058914,0.0020513669956523,-2.24664131865052,0.0013020461847936,0.156357649305469,0.00205386381231533,0.648742411101474
